RIVER	ERECTED	PURPOSE	LENGTH	LANES	CLEAR-G	T-OR-D	MATERIAL	SPAN	REL-L	TYPE
discrete	continuous	discrete	continuous	continuous	discrete	discrete	discrete	discrete	discrete	discrete
						class	class	class	class	class
2	1818.0	4		2.0	1	1	1	1	1	1
1	1819.0	4	1037.0	2.0	1	1	1	1	1	1
1	1829.0	2		1.0	1	1	1		1	1
1	1837.0	4	1000.0	2.0	1	1	1	1	1	1
2	1838.0	4		2.0	1	1	1		1	1
1	1840.0	4	990.0	2.0	1	1	1	2	1	1
1	1844.0	2	1000.0	1.0	1	1	2	1	1	2
2	1846.0	4	1500.0	2.0	1	1	2	1	1	2
1	1848.0	2		1.0	1	2	1		1	1
1	1851.0	4	1000.0	2.0	1	1	1	2	1	1
1	1853.0	3		2.0	1	2	1		1	1
2	1856.0	4	1200.0	2.0	1	1	1	2	1	1
1	1856.0	4		2.0	1	1	1		1	1
1	1857.0	3		2.0	1	1	1		1	1
1	1859.0	4	1030.0	2.0	1	1	2	2	2	2
2	1863.0	3	1000.0	2.0	1	1	2	2		3
1	1864.0	3	1200.0	2.0	1	1	2	1	1	3
1	1866.0	4	1000.0	2.0	1	1	1	2	1	1
1	1870.0	4	1000.0	2.0	1	1	1	2	1	1
2	1874.0	3		2.0		1	2			3
2	1876.0	4	1245.0			1	3	3	3	2
1	1876.0	4	1200.0	4.0	2	1	1	1	1	1
3	1878.0	3		2.0	2		3			3
2	1882.0	3		2.0	2		3			3
1	1883.0	3		2.0	2	1	3		3	3
2	1883.0	3	1150.0	2.0	2	1	3	2	1	3
1	1884.0	3		2.0	2	1	3	2	3	3
1	1884.0	4	1080.0	2.0	2	1	3	2		2
2	1884.0	4	1000.0	2.0	2	1	3	2	1	4
1	1887.0	4		2.0	2	1	2	2	3	3
2	1887.0	3	1161.0	2.0	2	1	3	2	1	3
3	1888.0	3	4558.0	2.0	2	1	3	3	3	3
2	1889.0	4	1120.0		2	1	2	2	3	3
3	1890.0	4		2.0	2	1	2	1	3	3
1	1890.0	4	1000.0	2.0	2	1	3	2	3	3
2	1891.0	4		2.0	2	1	2	2	3	3
