cylinders	weight	acceleration	model_year	car_name	mpg	origin	horsepower	displacement
discrete	continuous	continuous	discrete	discrete	continuous	discrete	continuous	continuous
								
8	3504.0	12.0	70	chevrolet chevelle malibu	18.0	1	130.0	307.0
8	3693.0	11.5	70	buick skylark 320	15.0	1	165.0	350.0
8	3436.0	11.0	70	plymouth satellite	18.0	1	150.0	318.0
8	3433.0	12.0	70	amc rebel sst	16.0	1	150.0	304.0
8	3449.0	10.5	70	ford torino	17.0	1	140.0	302.0
8	4341.0	10.0	70	ford galaxie 500	15.0	1	198.0	429.0
8	4354.0	9.0	70	chevrolet impala	14.0	1	220.0	454.0
8	4312.0	8.5	70	plymouth fury iii	14.0	1	215.0	440.0
8	4425.0	10.0	70	pontiac catalina	14.0	1	225.0	455.0
8	3850.0	8.5	70	amc ambassador dpl	15.0	1	190.0	390.0
8	3563.0	10.0	70	dodge challenger se	15.0	1	170.0	383.0
8	3609.0	8.0	70	plymouth 'cuda 340	14.0	1	160.0	340.0
8	3761.0	9.5	70	chevrolet monte carlo	15.0	1	150.0	400.0
8	3086.0	10.0	70	buick estate wagon (sw)	14.0	1	225.0	455.0
4	2372.0	15.0	70	toyota corona mark ii	24.0	3	95.0	113.0
6	2833.0	15.5	70	plymouth duster	22.0	1	95.0	198.0
6	2774.0	15.5	70	amc hornet	18.0	1	97.0	199.0
6	2587.0	16.0	70	ford maverick	21.0	1	85.0	200.0
4	2130.0	14.5	70	datsun pl510	27.0	3	88.0	97.0
4	1835.0	20.5	70	volkswagen 1131 deluxe sedan	26.0	2	46.0	97.0
4	2672.0	17.5	70	peugeot 504	25.0	2	87.0	110.0
4	2430.0	14.5	70	audi 100 ls	24.0	2	90.0	107.0
4	2375.0	17.5	70	saab 99e	25.0	2	95.0	104.0
4	2234.0	12.5	70	bmw 2002	26.0	2	113.0	121.0
6	2648.0	15.0	70	amc gremlin	21.0	1	90.0	199.0
8	4615.0	14.0	70	ford f250	10.0	1	215.0	360.0
8	4376.0	15.0	70	chevy c20	10.0	1	200.0	307.0
8	4382.0	13.5	70	dodge d200	11.0	1	210.0	318.0
8	4732.0	18.5	70	hi 1200d	9.0	1	193.0	304.0
4	2130.0	14.5	71	datsun pl510	27.0	3	88.0	97.0
4	2264.0	15.5	71	chevrolet vega 2300	28.0	1	90.0	140.0
4	2228.0	14.0	71	toyota corona	25.0	3	95.0	113.0
4	2046.0	19.0	71	ford pinto	25.0	1		98.0
6	2634.0	13.0	71	amc gremlin	21.0	1	90.0	199.0
6	3439.0	15.5	71	plymouth satellite custom	16.0	1	105.0	225.0
6	3329.0	15.5	71	chevrolet chevelle malibu	18.0	1	130.0	307.0
6	3302.0	15.5	71	ford torino 500	19.0	1	88.0	250.0
6	3288.0	15.5	71	amc matador	18.0	1	100.0	232.0
8	4209.0	12.0	71	chevrolet impala	14.0	1	220.0	454.0
8	4464.0	11.5	71	pontiac catalina brougham	14.0	1	175.0	400.0
8	4154.0	13.5	71	ford galaxie 500	15.0	1	198.0	429.0
8	4096.0	13.0	71	plymouth fury iii	14.0	1	215.0	440.0
8	4955.0	11.5	71	dodge monaco (sw)	12.0	1	180.0	383.0
